"Nome","Descrizione Breve","Prezzo","Quantità"
"Notebook Pro 15","Laptop ad alte prestazioni con display Retina","1299.99","15"
"Smartphone Max","Smartphone con tripla fotocamera e memoria espandibile","799.99","50"
"Cuffie Wireless","Cuffie Bluetooth con cancellazione del rumore","149.99","100"
"Sedia Ergonomica","Sedia da ufficio con supporto lombare regolabile","199.99","30"
"Monitor UltraWide 34","Monitor curvo UltraWide da 34 pollici","499.99","20"
"Tablet 10 Pro","Tablet con schermo da 10 pollici e 64GB di memoria","299.99","75"
"Smartwatch Fit","Orologio intelligente con funzioni fitness avanzate","199.99","40"
"Televisore 4K 55\"","TV Ultra HD 4K con supporto HDR e smart apps","699.99","25"
"Frullatore PowerMix","Frullatore con diverse velocità e funzione pulse","79.99","120"
"Aspirapolvere Senza Fili","Aspirapolvere cordless con lunga autonomia","249.99","35"
"Macchina del Caffè Espresso","Macchina per caffè espresso automatica","349.99","60"
"Lampada da Tavolo LED","Lampada LED con luminosità regolabile","29.99","200"
"Borraccia Termica 500ml","Borraccia in acciaio inox a doppia parete","19.99","150"
"Zaino da Viaggio","Zaino spazioso e resistente per il viaggio","59.99","80"
"Fotocamera Digitale 20MP","Fotocamera compatta con zoom ottico 10x","249.99","45"
"Power Bank 10000mAh","Batteria portatile compatta con doppia porta USB","24.99","300"
"Router WiFi 6","Router wireless di ultima generazione per alta velocità","129.99","50"
"Disco SSD 1TB","Unità SSD con velocità di trasferimento rapida","99.99","100"
"Smart Speaker","Altoparlante intelligente con assistente vocale","89.99","60"
"Occhiali da Sole UV400","Occhiali da sole con protezione UV400","39.99","150"